user_id,division,plan_type,device_type,signup_channel,marketing_campaign,subscription_start_date,cancellation_date
1,East,Premium,Desktop,Organic,SpringPromo,2024-03-22,
2,West,Premium,Mobile,Ads,,2024-02-17,
3,East,Basic,Mobile,Organic,BlackFriday,2024-11-27,2025-03-18
4,East,Basic,Mobile,Email,BlackFriday,2024-11-28,2025-03-10
5,West,Premium,Tablet,Email,BlackFriday,2024-11-28,
6,Central,Standard,Mobile,Referral,SpringPromo,2024-03-15,2024-06-04
7,West,Premium,Mobile,Organic,,2024-10-17,2025-03-05
8,Central,Premium,Mobile,Email,,2024-09-12,
9,Central,Premium,Mobile,Organic,SpringPromo,2024-03-16,
10,West,Premium,Mobile,Email,,2024-08-02,
11,West,Standard,Desktop,Email,SummerSale,2024-08-22,
12,Central,Standard,Desktop,Referral,BlackFriday,2024-11-28,
13,East,Standard,Mobile,Referral,Launch2024,2024-01-10,
14,Central,Standard,Mobile,Organic,BlackFriday,2024-11-25,
15,West,Premium,Tablet,Organic,SpringPromo,2024-03-25,
16,Central,Standard,Mobile,Referral,,2024-05-30,
17,East,Standard,Desktop,Organic,SummerSale,2024-08-22,
18,West,Premium,Mobile,Email,,2024-08-31,
19,West,Standard,Mobile,Email,SpringPromo,2024-03-23,
20,Central,Standard,Mobile,Referral,SpringPromo,2024-03-16,
21,Central,Standard,Tablet,Email,BlackFriday,2024-11-29,
22,West,Premium,Tablet,Ads,BlackFriday,2024-11-30,
23,Central,Standard,Desktop,Email,,2024-02-17,
24,West,Basic,Tablet,Email,SummerSale,2024-08-16,
25,West,Basic,Tablet,Ads,,2024-11-23,
26,Central,Standard,Mobile,Organic,Launch2024,2024-01-01,
27,Central,Basic,Mobile,Email,,2024-05-03,
28,East,Premium,Desktop,Email,BlackFriday,2024-11-27,
29,West,Premium,Mobile,Referral,,2024-08-30,2024-10-07
30,Central,Basic,Mobile,Email,,2024-04-06,
31,Central,Basic,Mobile,Email,,2024-04-01,
32,West,Standard,Mobile,Email,SpringPromo,2024-03-18,
33,Central,Premium,Mobile,Ads,SummerSale,2024-08-10,2024-10-14
34,West,Standard,Tablet,Email,SpringPromo,2024-03-23,
35,East,Basic,Tablet,Ads,Launch2024,2024-01-10,2024-05-16
36,East,Basic,Desktop,Organic,,2024-07-24,
37,Central,Basic,Desktop,Organic,,2024-01-11,
38,West,Premium,Mobile,Ads,,2024-05-08,
39,Central,Standard,Mobile,Referral,,2024-12-25,
40,Central,Basic,Mobile,Organic,,2024-02-06,
41,West,Premium,Mobile,Referral,,2024-11-07,
42,Central,Basic,Mobile,Referral,SummerSale,2024-08-23,2024-10-23
43,West,Premium,Mobile,Ads,,2024-10-19,
44,Central,Basic,Mobile,Email,BlackFriday,2024-11-26,
45,Central,Standard,Mobile,Referral,,2024-08-11,2024-09-05
46,Central,Basic,Mobile,Email,Launch2024,2024-01-11,
47,East,Premium,Desktop,Organic,,2024-05-21,2024-06-11
48,West,Standard,Desktop,Email,Launch2024,2024-01-02,
49,West,Premium,Mobile,Ads,BlackFriday,2024-11-25,
50,West,Premium,Desktop,Email,,2024-11-28,2025-02-19
51,West,Premium,Desktop,Referral,Launch2024,2024-01-13,
52,West,Premium,Desktop,Ads,,2024-03-03,
53,Central,Basic,Mobile,Referral,,2024-05-20,
54,East,Basic,Mobile,Referral,,2024-01-13,
55,Central,Standard,Mobile,Referral,Launch2024,2024-01-10,
56,Central,Basic,Mobile,Referral,Launch2024,2024-01-08,2024-04-14
57,Central,Basic,Desktop,Organic,Launch2024,2024-01-15,
58,East,Basic,Desktop,Organic,SummerSale,2024-08-21,
59,West,Basic,Mobile,Referral,SummerSale,2024-08-20,2024-11-22
60,East,Basic,Mobile,Referral,BlackFriday,2024-11-30,2024-12-20
61,East,Basic,Mobile,Email,Launch2024,2024-01-01,
62,West,Standard,Mobile,Ads,BlackFriday,2024-11-27,
63,East,Premium,Desktop,Email,,2024-02-14,2024-05-29
64,Central,Standard,Tablet,Email,,2024-10-28,2024-11-21
65,Central,Premium,Mobile,Referral,,2024-08-10,
66,Central,Standard,Desktop,Referral,,2024-02-18,
67,East,Standard,Mobile,Ads,SpringPromo,2024-03-30,
68,Central,Basic,Mobile,Referral,,2024-06-08,
69,Central,Basic,Mobile,Organic,,2024-02-05,
70,West,Premium,Desktop,Ads,,2024-11-01,
71,East,Basic,Mobile,Organic,BlackFriday,2024-11-29,2025-03-04
72,Central,Premium,Mobile,Organic,,2024-04-11,
73,West,Basic,Mobile,Organic,Launch2024,2024-01-05,
74,Central,Standard,Mobile,Email,Launch2024,2024-01-10,
75,East,Standard,Desktop,Email,BlackFriday,2024-11-26,
76,West,Premium,Desktop,Ads,,2024-10-04,
77,East,Premium,Mobile,Ads,SummerSale,2024-08-18,
78,West,Standard,Desktop,Organic,,2024-03-03,
79,West,Premium,Tablet,Organic,SummerSale,2024-08-15,
80,West,Basic,Mobile,Email,SpringPromo,2024-03-16,
81,West,Premium,Mobile,Email,SpringPromo,2024-03-19,
82,West,Standard,Mobile,Ads,Launch2024,2024-01-03,
83,Central,Standard,Mobile,Ads,,2024-07-24,
84,Central,Basic,Mobile,Email,,2024-04-11,
85,West,Premium,Desktop,Ads,BlackFriday,2024-11-24,2025-03-03
86,West,Basic,Mobile,Organic,,2024-06-27,
87,Central,Basic,Mobile,Referral,SummerSale,2024-08-24,
88,West,Standard,Mobile,Ads,,2024-11-27,2024-12-08
89,East,Basic,Mobile,Ads,SpringPromo,2024-03-25,
90,East,Premium,Tablet,Organic,,2024-05-13,
91,West,Basic,Mobile,Ads,SpringPromo,2024-03-23,
92,West,Standard,Tablet,Referral,,2024-07-24,
93,West,Premium,Desktop,Ads,BlackFriday,2024-11-26,2025-02-17
94,Central,Premium,Mobile,Organic,,2024-06-02,
95,Central,Basic,Tablet,Organic,BlackFriday,2024-11-27,
96,West,Premium,Mobile,Ads,Launch2024,2024-01-06,
